[2026-04-03T00:43:38.972Z] GET http://localhost:3001/_next/static/chunks/app_marketplace_styles_marketplace_4c795875.css → 200 (91ms, ?B)
[2026-04-03T00:43:40.493Z] GET http://localhost:3002/api/v1/system/features → pending (?ms, ?B)
[2026-04-03T00:43:40.501Z] GET http://localhost:3001/_next/static/chunks/9ef3a_%40tanstack_query-devtools_build_475be9ec._.js → pending (?ms, ?B)
[2026-04-03T00:43:40.506Z] GET http://localhost:3001/_next/static/chunks/9ef3a_%40tanstack_query-devtools_build_DevtoolsComponent_CDWEKZTF_c5b43fc7.js → 200 (19ms, ?B)
[2026-04-03T00:43:40.518Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → pending (?ms, ?B)
[2026-04-03T00:43:40.519Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_42fffd8c._.js → pending (?ms, ?B)
[2026-04-03T00:43:40.779Z] GET http://localhost:3001/logo.svg → 304 (119ms, ?B)
[2026-04-03T00:43:40.815Z] GET https://marketplace.tinyiothub.com/api/v1/templates → pending (?ms, ?B)
[2026-04-03T00:43:40.828Z] GET https://marketplace.tinyiothub.com/api/v1/drivers → pending (?ms, ?B)
[2026-04-03T00:44:04.471Z] GET http://localhost:3001/ → 200 (124ms, 29804B)
[2026-04-03T00:44:04.618Z] GET http://localhost:3001/_next/static/chunks/_7e1c7992._.css → 200 (7ms, 319133B)
[2026-04-03T00:44:04.618Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_a12d263b._.js → 200 (6ms, 671B)
[2026-04-03T00:44:04.618Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_compiled_react-dom_87863242._.js → pending (?ms, ?B)
[2026-04-03T00:44:04.618Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_compiled_next-devtools_index_adc1a8e8.js → pending (?ms, ?B)
[2026-04-03T00:44:04.620Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_compiled_b7c5bb50._.js → 200 (41ms, 270289B)
[2026-04-03T00:44:04.620Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_client_ad535f31._.js → 200 (63ms, ?B)
[2026-04-03T00:44:04.620Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_d4036616._.js → 200 (40ms, 189285B)
[2026-04-03T00:44:04.620Z] GET http://localhost:3001/_next/static/chunks/69652_%40swc_helpers_cjs_120d0889._.js → 200 (40ms, 2909B)
[2026-04-03T00:44:04.620Z] GET http://localhost:3001/_next/static/chunks/_a0ff3932._.js → 200 (41ms, 649B)
[2026-04-03T00:44:04.620Z] GET http://localhost:3001/_next/static/chunks/turbopack-_f41ff335._.js → 200 (63ms, ?B)
[2026-04-03T00:44:04.620Z] GET http://localhost:3001/_next/static/chunks/9ef3a_%40tanstack_query-devtools_build_83135af1._.js → 200 (62ms, 1573B)
[2026-04-03T00:44:04.622Z] GET http://localhost:3001/_next/static/chunks/_35f1d49c._.js → pending (?ms, ?B)
[2026-04-03T00:44:04.623Z] GET http://localhost:3001/_next/static/chunks/node_modules__pnpm_bac2f8b1._.js → pending (?ms, ?B)
[2026-04-03T00:44:04.623Z] GET http://localhost:3001/_next/static/chunks/app_layout_tsx_12bb8a1a._.js → pending (?ms, ?B)
[2026-04-03T00:44:04.623Z] GET http://localhost:3001/_next/static/chunks/_4ae18c17._.js → pending (?ms, ?B)
[2026-04-03T00:44:04.623Z] GET http://localhost:3001/_next/static/chunks/app_page_tsx_4516514f._.js → pending (?ms, ?B)
[2026-04-03T00:44:04.623Z] GET http://localhost:3001/_next/static/chunks/bf9e7_next_dist_client_components_builtin_global-error_4516514f.js → pending (?ms, ?B)
